recall,precision,threshold
1.0,0.29333333333333333,0.042248272618944344
1.0,0.29356357927786497,0.04227515267756164
1.0,0.29379418695993714,0.04247216142608125
1.0,0.2940251572327044,0.04258167474049767
1.0,0.2942564909520063,0.04274533340467547
1.0,0.29448818897637796,0.04314934709574805
1.0,0.29472025216706066,0.043385146351034354
1.0,0.2949526813880126,0.04343700082221574
1.0,0.2951854775059195,0.04345133693785566
1.0,0.29541864139020535,0.04351425155131775
1.0,0.2956521739130435,0.043551591245281865
1.0,0.2958860759493671,0.04370455653919472
1.0,0.29612034837688045,0.04391692195302036
1.0,0.29635499207606975,0.04420583221758106
1.0,0.2965900079302141,0.04455930039392251
1.0,0.2968253968253968,0.04474519480753236
1.0,0.29706115965051627,0.04476360805168095
1.0,0.2972972972972973,0.0451009113631138
1.0,0.2975338106603023,0.04516186811829066
1.0,0.29777070063694266,0.045289862231840367
1.0,0.29800796812749003,0.04552859943393428
1.0,0.2982456140350877,0.045724987433774615
1.0,0.29848363926576216,0.04584394180227521
1.0,0.2987220447284345,0.04586924798166521
1.0,0.29896083133493206,0.04591484200076551
1.0,0.2992,0.046012494110763746
1.0,0.29943955164131303,0.046071534967510326
1.0,0.29967948717948717,0.04637471435478565
1.0,0.29991980753809144,0.0464468660486639
1.0,0.3001605136436597,0.04657936253038005
1.0,0.3004016064257028,0.04659486369195582
1.0,0.30064308681672025,0.04660946913882573
1.0,0.3008849557522124,0.0466236670957173
1.0,0.30112721417069244,0.04673947713726007
0.9973262032085561,0.3005640612409347,0.0469876694050291
0.9973262032085561,0.3008064516129032,0.04707232735489664
0.9973262032085561,0.30104923325262306,0.047087489911214815
0.9973262032085561,0.30129240710823907,0.04714586782434343
0.9973262032085561,0.301535974130962,0.04788718554517878
0.9973262032085561,0.3017799352750809,0.04789346162457176
0.9973262032085561,0.3020242914979757,0.048098188660973706
0.9973262032085561,0.30226904376012964,0.04816790583851391
0.9973262032085561,0.30251419302514193,0.04832984534770741
0.9973262032085561,0.3027597402597403,0.048475289626778946
0.9973262032085561,0.30300568643379366,0.04895871693681277
0.9973262032085561,0.3032520325203252,0.049437741779585535
0.9973262032085561,0.30349877949552484,0.04945379279654333
0.9973262032085561,0.30374592833876224,0.04967827358632338
0.9973262032085561,0.30399348003259985,0.05007754005533
0.9973262032085561,0.30424143556280586,0.05017258600239438
0.9973262032085561,0.30448979591836733,0.0510566282361108
0.9973262032085561,0.3047385620915033,0.05113856276703359
0.9946524064171123,0.3041700735895339,0.05152504784238105
0.9946524064171123,0.3044189852700491,0.0515636883402066
0.9946524064171123,0.3046683046683047,0.051977049267312406
0.9946524064171123,0.30491803278688523,0.05199687894028402
0.9946524064171123,0.3051681706316653,0.05207754104727995
0.9946524064171123,0.3054187192118227,0.05257918686082904
0.9946524064171123,0.3056696795398521,0.052614871676380334
0.9946524064171123,0.3059210526315789,0.0527243933144237
0.9946524064171123,0.30617283950617286,0.05274367210686203
0.9946524064171123,0.30642504118616143,0.0527655727493679
0.9946524064171123,0.30667765869744434,0.05279189861897163
0.9946524064171123,0.3069306930693069,0.05283223256260855
0.9946524064171123,0.30718414533443433,0.05283886672081761
0.9946524064171123,0.3074380165289256,0.05284281079661726
0.9946524064171123,0.3076923076923077,0.05325434121222087
0.9946524064171123,0.3079470198675497,0.05349154909121652
0.9946524064171123,0.30820215410107704,0.053604147868278613
0.9946524064171123,0.30845771144278605,0.053611716728877254
0.9946524064171123,0.3087136929460581,0.053699417661637494
0.9946524064171123,0.3089700996677741,0.05374650426209966
0.9946524064171123,0.3092269326683292,0.053852774739716835
0.9946524064171123,0.30948419301164726,0.053906972230807884
0.9946524064171123,0.3097418817651957,0.05394492246996275
0.9946524064171123,0.31,0.05401102452216073
0.9946524064171123,0.3102585487906589,0.05435750020422697
0.9946524064171123,0.3105175292153589,0.05442359790286095
0.9946524064171123,0.3107769423558897,0.054639913680731754
0.9946524064171123,0.3110367892976589,0.05480900600044495
0.9946524064171123,0.3112970711297071,0.05559832131907987
0.9946524064171123,0.31155778894472363,0.05569689345248081
0.9946524064171123,0.31181894383906117,0.05581909380116791
0.9946524064171123,0.31208053691275167,0.05595656097841747
0.9946524064171123,0.3123425692695214,0.05600378445559269
0.9946524064171123,0.3126050420168067,0.0560640488341984
0.9946524064171123,0.3128679562657696,0.05622551133043136
0.9946524064171123,0.31313131313131315,0.05626022199588947
0.9946524064171123,0.3133951137320977,0.05626415649486765
0.9946524064171123,0.3136593591905565,0.05631994776127679
0.9946524064171123,0.3139240506329114,0.05644032926111267
0.9946524064171123,0.3141891891891892,0.056506143092350435
0.9946524064171123,0.3144547759932375,0.05659489414928709
0.9946524064171123,0.3147208121827411,0.05674815991477794
0.9946524064171123,0.31498729889923793,0.05678327879878114
0.9946524064171123,0.3152542372881356,0.057135710734876215
0.9946524064171123,0.3155216284987277,0.057460857515549156
0.9919786096256684,0.3149405772495755,0.05799694220535659
0.9919786096256684,0.31520815632965166,0.05878285224974287
0.9919786096256684,0.31547619047619047,0.058885564334389975
0.9919786096256684,0.31574468085106383,0.05898560392101094
0.9919786096256684,0.31601362862010224,0.059042896598044556
0.9919786096256684,0.31628303495311166,0.05905939692548586
0.9919786096256684,0.3165529010238908,0.05946348890925083
0.9919786096256684,0.31682322801024765,0.0595308433064271
0.9919786096256684,0.3170940170940171,0.059547175018506676
0.9919786096256684,0.31736526946107785,0.0596885417616003
0.9919786096256684,0.3176369863013699,0.06037944288603451
0.9919786096256684,0.31790916880891174,0.060413326008995336
0.9919786096256684,0.3181818181818182,0.06079885289151445
0.9919786096256684,0.3184549356223176,0.0609032162035095
0.9919786096256684,0.31872852233676974,0.06094429193720245
